"NUTS_ID";"CNTR_CODE";"NUTS_Level";"NUTS2_ID";"NUTS1_ID";"NUTS_Name";"C19deaths";"pop2020";"C19deaths_per100000";"annotation"
"AT111";"AT";3;"AT11";"AT1";"Mittelburgenland";63;37384;168,521292531564;
"AT112";"AT";3;"AT11";"AT1";"Nordburgenland";258;160064;161,185525789684;
"AT113";"AT";3;"AT11";"AT1";"Südburgenland";281;96988;289,726564111024;
"AT121";"AT";3;"AT12";"AT1";"Mostviertel-Eisenwurzen";724;247347;292,706198175033;
"AT122";"AT";3;"AT12";"AT1";"Niederösterreich-Süd";732;261156;280,292239121445;
"AT123";"AT";3;"AT12";"AT1";"Sankt Pölten";431;156363;275,640656677091;
"AT124";"AT";3;"AT12";"AT1";"Waldviertel";532;216681;245,522219299339;
"AT125";"AT";3;"AT12";"AT1";"Weinviertel";192;125210;153,342384793547;
"AT126";"AT";3;"AT12";"AT1";"Wiener Umland/Nordteil";516;332957;154,974966737447;
"AT127";"AT";3;"AT12";"AT1";"Wiener Umland/Südteil";797;344573;231,300769358017;
"AT130";"AT";3;"AT13";"AT1";"Wien";4002;1911191;209,398223411475;
"AT211";"AT";3;"AT21";"AT2";"Klagenfurt-Villach";766;288814;265,222600012465;
"AT212";"AT";3;"AT21";"AT2";"Oberkärnten";405;123824;327,07714174958;
"AT213";"AT";3;"AT21";"AT2";"Unterkärnten";459;148655;308,768625340554;
"AT221";"AT";3;"AT22";"AT2";"Graz";949;447142;212,236828569;
"AT222";"AT";3;"AT22";"AT2";"Liezen";215;79652;269,924170140109;
"AT223";"AT";3;"AT22";"AT2";"Östliche Obersteiermark";535;158397;337,758922201809;
"AT224";"AT";3;"AT22";"AT2";"Oststeiermark";837;266971;313,517198497215;
"AT225";"AT";3;"AT22";"AT2";"West- und Südsteiermark";537;194992;275,39591367851;
"AT226";"AT";3;"AT22";"AT2";"Westliche Obersteiermark";330;99241;332,523856067553;
"AT311";"AT";3;"AT31";"AT3";"Innviertel";712;289509;245,933632460476;
"AT312";"AT";3;"AT31";"AT3";"Linz-Wels";1196;595637;200,793436270749;
"AT313";"AT";3;"AT31";"AT3";"Mühlviertel";488;210133;232,233870929364;
"AT314";"AT";3;"AT31";"AT3";"Steyr-Kirchdorf";359;155844;230,358563691897;
"AT315";"AT";3;"AT31";"AT3";"Traunviertel";556;239156;232,484236230745;
"AT321";"AT";3;"AT32";"AT3";"Lungau";64;20251;316,033776109822;
"AT322";"AT";3;"AT32";"AT3";"Pinzgau-Pongau";369;168822;218,573408678964;
"AT323";"AT";3;"AT32";"AT3";"Salzburg und Umgebung";724;369337;196,026934750648;
"AT331";"AT";3;"AT33";"AT3";"Außerfern";25;32838;76,1313112857056;
"AT332";"AT";3;"AT33";"AT3";"Innsbruck";482;312414;154,282458532588;
"AT333";"AT";3;"AT33";"AT3";"Osttirol";132;48738;270,835898067216;
"AT334";"AT";3;"AT33";"AT3";"Tiroler Oberland";171;104860;163,074575624642;
"AT335";"AT";3;"AT33";"AT3";"Tiroler Unterland";532;258784;205,576851737356;
"AT341";"AT";3;"AT34";"AT3";"Bludenz-Bregenzer Wald";312;92362;337,801260258548;
"AT342";"AT";3;"AT34";"AT3";"Rheintal-Bodenseegebiet";326;304777;106,96345196652;
"BE1";"BE";1;;"BE1";"Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest";4187;1223364;342,253000742216;
"BE2";"BE";1;;"BE2";"Vlaams Gewest";16274;6639005;245,127093593091;
"BE3";"BE";1;;"BE3";"Région wallonne";11407;3660071;311,660620791236;
"BG311";"BG";3;"BG31";"BG3";"Vidin";599;82835;723,124283213617;
"BG312";"BG";3;"BG31";"BG3";"Montana";873;127001;687,396162234943;
"BG313";"BG";3;"BG31";"BG3";"Vratsa";1022;159470;640,872891452938;
"BG314";"BG";3;"BG31";"BG3";"Pleven";1191;236305;504,009648547428;
"BG315";"BG";3;"BG31";"BG3";"Lovech";560;122546;456,971259771841;
"BG321";"BG";3;"BG32";"BG3";"Veliko Tarnovo";1264;232568;543,496955729077;
"BG322";"BG";3;"BG32";"BG3";"Gabrovo";714;106598;669,806187733353;
"BG323";"BG";3;"BG32";"BG3";"Ruse";1290;215477;598,671783995508;
"BG324";"BG";3;"BG32";"BG3";"Razgrad";574;110789;518,101977633159;
"BG325";"BG";3;"BG32";"BG3";"Silistra";731;108018;676,739062008184;
"BG331";"BG";3;"BG33";"BG3";"Varna";2203;469885;468,838119965524;
